flow_work_id	flow_work_name	flow_work_flow_id	update_date	edit_user_id	sort	enabled_flg	del_flg
89	再受検申請	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	57	1	0
90	再受検	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	58	1	0
91	再受検合否確認	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	59	1	0
92	在留期間更新許可申請書類準備	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
93	在留期間更新許可申請書類回収	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
94	在留期間更新許可申請	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
95	管理簿準備	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
96	第１回：監査準備（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
97	第１回：監査実施（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
98	第１回：監査書類確認（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
99	第１回：監査書類提出（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	8	1	0
100	第２回：監査準備（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	9	1	0
101	第２回：監査実施（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	10	1	0
102	第２回：監査書類確認（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	11	1	0
103	第２回：監査書類提出（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	12	1	0
104	第３回：監査準備（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	13	1	0
105	第３回：監査実施（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	14	1	0
106	第３回：監査書類確認（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	15	1	0
107	第３回：監査書類提出（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	16	1	0
108	第４回：監査準備（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	17	1	0
109	第４回：監査実施（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	18	1	0
110	第４回：監査書類確認（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	19	1	0
111	第４回：監査書類提出（監査 ３ヶ月１回）	10	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	20	1	0
112	修了証明書発行	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
113	技能実習生の評価調書発行	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
114	継続適合審査準備（追加受入の場合）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
115	継続適合審査（追加受入の場合）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
116	継続適合審査確認（追加受入の場合）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
117	優良要件適合作成/確認	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
118	優良要件適合受領 	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
119	優良要件適合確認	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	8	1	0
120	雇用契約書等準備	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	9	1	0
121	雇用契約書等確認	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	10	1	0
122	雇用契約書等回収	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	11	1	0
123	資格変更手続準備	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	12	1	0
124	資格変更手続書類回収	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	13	1	0
125	資格変更手続書類作成	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	14	1	0
126	技能実習計画認定申請	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	15	1	0
127	在留資格変更許可申請書類準備 	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	16	1	0
128	在留資格変更許可申請書類回収	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	17	1	0
129	在留資格変更許可申請	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	18	1	0
130	管理簿準備	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	19	1	0
131	第１回：監査準備（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	20	1	0
132	第１回：監査実施（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	21	1	0
133	第１回：監査書類確認（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	22	1	0
134	第１回：監査書類提出（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	23	1	0
135	第２回：監査準備（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	24	1	0
136	第２回：監査実施（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	25	1	0
137	第２回：監査書類確認（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	26	1	0
138	第２回：監査書類提出（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	27	1	0
139	第３回：監査準備（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	28	1	0
140	第３回：監査実施（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	29	1	0
141	第３回：監査書類確認（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	30	1	0
142	第３回：監査書類提出（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	31	1	0
143	第４回：監査準備（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	32	1	0
144	第４回：監査実施（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	33	1	0
145	第４回：監査書類確認（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	34	1	0
146	第４回：監査書類提出（監査 ３ヶ月１回）	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	35	1	0
147	受検書類回収	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	36	1	0
148	受検申請	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	37	1	0
149	受検	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	38	1	0
150	受検合否確認	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	39	1	0
151	再受検申請	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	40	1	0
152	再受検	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	41	1	0
153	再受検合否確認	11	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	42	1	0
154	出入国準備	12	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
155	出入国書類回収	12	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
